score,method,member
0.8114,perceptron,eminmdzd
0.8021,perceptron,ifweng
0.7872,mlp,andyrochi
0.7746,mlp,0rionYang
0.7741,mlp,taehyeon4
0.7724,perceptron,yewentao256
0.7713,perceptron,olivesmoo
0.7675,mlp,shubham-rateria
0.7669,mlp,Algorithmist-Girl
0.7669,perceptron,andyrochi
0.7658,perceptron,jatinkulkarni
0.7653,perceptron,Soundpulse
0.7653,perceptron,jrbyers
0.7625,perceptron,gandhi-shubh02
0.7625,mlp,mitkrieg
0.7614,perceptron,mitkrieg
0.7581,mlp,rnucuta
0.757,perceptron,huy2512hcm
0.757,perceptron,xiaocheny1209
0.7565,mlp,xiaocheny1209
0.7554,perceptron,rachnaumesh
0.7548,mlp,rachnaumesh
0.7548,mlp,Soundpulse
0.7543,perceptron,Yel3nj
0.7532,perceptron,eigenValue7
0.7521,perceptron,Algorithmist-Girl
0.7515,perceptron,taehyeon4
0.7515,perceptron,0rionYang
0.7438,mlp,anyaeross18
0.7433,perceptron,shubham-rateria
0.7427,mlp,gandhi-shubh02
0.7411,perceptron,anyaeross18
0.74,perceptron,WalterZStark
0.74,mlp,jrbyers
0.74,perceptron,rnucuta
0.7372,mlp,WalterZStark
0.7306,mlp,jatinkulkarni
0.724,mlp,yewentao256
0.7202,perceptron,JadeYzx
0.7119,mlp,rvedula02
0.5014,perceptron,avinair108
0.5014,mlp,dchoiboi00
0.5014,perceptron,VictorYu379
0.5014,mlp,VictorYu379
0.5014,mlp,olivesmoo
0.5014,mlp,chloewang-200
0.5014,perceptron,chloewang-200
0.5014,mlp,ShalomOrlandoOtieno
0.5014,perceptron,ShalomOrlandoOtieno
0.5014,mlp,avinair108
0.5014,mlp,Xuening0322
0.5014,perceptron,Xuening0322
0.5014,mlp,RishikSarkar
0.5014,perceptron,wenfyan
0.5014,mlp,wenfyan
0.5014,perceptron,jl3282
0.5014,mlp,jl3282
0.5014,perceptron,chocokook
0.5014,mlp,kekelilii
0.5014,perceptron,LexiYin-mh
0.5014,mlp,LexiYin-mh
0.5014,mlp,huy2512hcm
0.5014,perceptron,kekelilii
0.5014,perceptron,kikimasu1
0.5014,mlp,kikimasu1
0.5014,mlp,Estelle7177
0.5014,perceptron,Estelle7177
0.5014,mlp,EytanRozenblum
0.5014,mlp,chocokook
0.5014,perceptron,EytanRozenblum
0.5014,mlp,Yel3nj
0.5014,perceptron,dpmcmanus
0.5014,mlp,dpmcmanus
0.5014,mlp,sunnivaliu
0.5014,mlp,Ceudan
0.5014,perceptron,Ceudan
0.5014,perceptron,RishikSarkar
0.5014,perceptron,fkhan000
0.5014,mlp,fkhan000
0.5014,perceptron,Theod0reWu
0.5014,mlp,Theod0reWu
0.5014,perceptron,stephendongg
0.5014,mlp,stephendongg
0.5014,perceptron,sunnivaliu
0.5014,perceptron,dchoiboi00
0.5014,mlp,JerryGgzm
0.5014,perceptron,berend-66
0.5014,mlp,berend-66
0.5014,perceptron,YiT-qg
0.5014,mlp,YiT-qg
0.5014,perceptron,aneeshat01
0.5014,mlp,aneeshat01
0.5014,perceptron,MichaelM7X
0.5014,mlp,MichaelM7X
0.5014,perceptron,lizz27
0.5014,mlp,lizz27
0.5014,perceptron,Gibur13
0.5014,mlp,Gibur13
0.5014,perceptron,sebastianrjay
0.5014,mlp,sebastianrjay
0.5014,mlp,adi-bal
0.5014,perceptron,MingshuL
0.5014,mlp,MingshuL
0.5014,mlp,marianellas
0.5014,perceptron,marianellas
0.5014,mlp,irenejy
0.5014,perceptron,irenejy
0.5014,perceptron,adi-bal
0.5014,perceptron,JerryGgzm
0.5014,mlp,Boca-J
0.5014,perceptron,Boca-J
0.5014,mlp,NeenaSpace
0.5014,perceptron,NeenaSpace
0.5014,mlp,tbor363
0.5014,perceptron,tbor363
0.5014,mlp,ginoitaliano
0.5014,perceptron,ginoitaliano
0.5014,perceptron,bhavya-gopal
0.5014,mlp,bhavya-gopal
0.5014,perceptron,ohorban
0.5014,mlp,ohorban
0.5014,perceptron,aaryapatel100
0.5014,mlp,aaryapatel100
0.5014,perceptron,kapa-moon
0.5014,mlp,kapa-moon
0.5014,perceptron,KaKituken
0.5014,mlp,KaKituken
0.5014,mlp,ifweng
0.5014,perceptron,nyl20
0.5014,mlp,mihika-jain
0.5014,mlp,aaldayarova
0.5014,mlp,nyl20
0.5014,perceptron,mihika-jain
0.5014,mlp,JadeYzx
0.5014,perceptron,aaldayarova
0.5014,mlp,ZeqiGu
0.5014,perceptron,ZeqiGu
0.5014,mlp,rhit-deckerza
0.5014,perceptron,rhit-deckerza
0.5014,mlp,bhoomikamehta
0.5014,perceptron,bhoomikamehta
0.5014,mlp,eminalparslan
0.5014,perceptron,eminalparslan
0.5014,mlp,cin-cout
0.5014,perceptron,cin-cout
0.5014,mlp,arnav-kolli
0.5014,perceptron,arnav-kolli
0.5014,mlp,winstontsuicornell
0.5014,perceptron,winstontsuicornell
